Scenario,2005,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100
GCAM 3.0EMF27-450-LimBio,31473.6245,34685.2928,12945.9312,12401.5887,7527.18575,5645.97426,3345.7836,1010.23448,-1771.7869,-3683.0186,-6199.5254
GCAM 3.0EMF27-450-NoCCS,31473.6245,34685.2928,11238.0595,13109.2508,12112.0721,10342.9304,6317.66682,2467.31544,-1664.1582,-4832.8736,-8236.1854
GCAM 3.0EMF27-550-Conv,31473.6245,34700.9707,18830.1339,22902.5993,20669.4558,15342.8193,10802.1073,7855.59086,6388.88428,6162.72415,5941.2076
GCAM 3.0EMF27-550-EERE,31473.3078,33875.6504,16077.1285,19836.3223,21368.5213,19245.5328,13214.0103,10880.6664,9200.97835,8296.29346,6200.95477
GCAM 3.0EMF27-550-FullTech,31473.6245,34685.2928,19250.5622,23393.0267,21384.8523,14980.9232,9999.72214,8279.87394,6735.68808,5970.68578,3938.54548
GCAM 3.0EMF27-550-LimBio,31473.6245,34685.2928,19169.884,23277.0051,21186.0398,15170.2508,10413.0465,8098.03097,6605.71512,6446.21196,5829.69496
GCAM 3.0EMF27-550-LimSW,31473.6245,34700.9745,19007.1609,23162.2904,21138.0831,15187.2381,10046.9861,8163.81645,6460.47953,5386.81338,3285.91699
GCAM 3.0EMF27-550-LowEI,31473.3078,33834.0808,20130.4045,22476.0277,22771.3076,16025.1654,10121.0037,8429.28524,7350.83054,6579.15939,4752.50433
GCAM 3.0EMF27-550-NoCCS,31473.6245,34685.2928,16493.7277,21149.7144,20857.3974,17696.6437,12848.9325,10542.0701,8965.99115,8411.80495,751.65525
GCAM 3.0EMF27-550-NucOff,31473.6245,34727.9566,18612.8634,23051.642,21093.5191,15215.5032,10098.9876,8030.71368,6047.26158,4733.7286,2931.68024
GCAM 3.0EMF27-Base-Conv,31473.6245,34700.9707,43598.5743,51779.3292,58171.658,65303.4652,70134.7082,74433.0085,78931.2099,81575.2605,82934.785
GCAM 3.0EMF27-Base-EERE,31473.3078,33875.6504,40355.6502,45741.3163,49252.145,53022.474,53933.704,54311.1247,53892.5651,52355.9579,49359.7122
GCAM 3.0EMF27-Base-FullTech,31473.6245,34685.2928,43318.4796,51233.3632,57308.3637,63987.6367,68381.5907,72124.9766,75247.8416,77206.6111,77589.1682
GCAM 3.0EMF27-Base-LimBio,31473.6245,34685.2928,43318.4796,51233.3632,57308.9378,63988.0225,68382.7887,72164.622,76144.5988,78324.4794,79002.3349
GCAM 3.0EMF27-Base-LimSW,31473.6245,34700.9745,43598.5791,51779.3325,58171.0699,65303.036,70133.4744,74262.3489,77808.5167,80110.8508,80971.2551
GCAM 3.0EMF27-Base-LimTech,31473.6245,34743.8701,44026.9059,52939.6867,60430.1916,69265.5333,75284.786,81659.3587,88117.2516,92125.4128,95617.4487
GCAM 3.0EMF27-Base-LowEI,31473.3078,33834.0808,39988.0421,44807.2664,47542.6113,50237.6952,50435.4262,49996.8627,48936.3206,47110.5236,44118.0335
GCAM 3.0EMF27-Base-NucOff,31473.6245,34727.9615,43722.0109,52339.691,59399.1274,67582.5025,73165.4998,78314.4343,82732.3339,85518.3647,86586.1374
GCAM 3.0EMF27-FP-FullTech,31473.6245,34685.297,41578.5571,36341.3304,33234.7102,38272.9921,34304.0195,32171.5743,28660.4741,25993.2611,23869.8341
GCAM 3.0EMF27-G8-FullTech,31473.6245,34685.2928,40820.2062,29481.8116,23801.3429,16061.5457,11714.4833,9314.26626,7024.99887,6013.79926,4972.72646
GCAM 3.0ROSE 450 DEF,31435.5098,34875.3086,37733.5117,37735.0703,21001.6602,8081.75977,1924.93994,-2583.3701,-6445.8599,-10012.12,-13230.52
GCAM 3.0ROSE 450 FS Gr,31435.5098,34875.3086,36910.6602,35740,15987.2598,8068.87988,2340.1001,-1892.71,-5823.8398,-9516.1797,-12842.58
GCAM 3.0ROSE 450 HI Coal,31435.5098,34843.5508,37889.8789,38322.1094,21754.8906,8189.83008,1676.72998,-2838.5601,-6528.25,-9962.1797,-13113.4
GCAM 3.0ROSE 450 HI Fos,31435.5098,34963.8906,37625.8711,37194.5313,21973.6094,7816.9502,1936.47998,-2468.78,-6328.9302,-9912.2598,-13167.76
GCAM 3.0ROSE 450 HI Gas,31435.5098,34875.3086,37707.7383,37661.2188,20873.4395,8042.41992,1909.81995,-2591.27,-6447.4102,-9998.5,-13204.79
GCAM 3.0ROSE 450 HI Pop,31435.5098,34875.3086,35180.5117,31491.3594,11901.4902,4148.8999,296.38001,-2958.5,-5750.5,-8400.8096,-10898.38
GCAM 3.0ROSE 450 LO Fos,31435.5098,33888.3789,36849.9883,37445.1094,22998.1094,8937.03027,2060.07007,-2663.6299,-6391.3501,-9783.46,-12897.11
GCAM 3.0ROSE 450 LO Oil,31435.5098,34843.5508,37823.3008,38127.1016,21359.8203,8054.35986,1610.96997,-2862.27,-6524.5298,-9927.04,-13059.86
GCAM 3.0ROSE 450 SL Gr,31435.5098,34875.3086,38496.8086,39311.1719,24991.9297,8228.5,1497.18994,-3392.0801,-7215.6401,-10603.39,-13637.8
GCAM 3.0ROSE 550 DEF,31435.5098,34875.3086,39459.9805,42166.3594,30184.0098,14938.9004,11557.5195,9245.59961,8282.74023,7738.95996,7240.83008
GCAM 3.0ROSE 550 FS Gr,31435.5098,34875.3086,39463.4102,42639.2813,30330.5801,15005.29,10523.5303,8343.33984,7623.12988,7180.27979,6764.93018
GCAM 3.0ROSE 550 HI Coal,31435.5098,34843.5508,39580,42705.1602,31012.4805,15443.9199,11646.8496,9732.99023,8225.62012,7964.66992,7073.75977
GCAM 3.0ROSE 550 HI Fos,31435.5098,34963.8906,39352.5313,41771.6719,30451.1797,14768.3896,11666.4697,9345.32031,8268.40039,7512.89014,6853.20996
GCAM 3.0ROSE 550 HI Gas,31435.5098,34875.3086,39464.1211,42171.3789,30206.7891,14934.9502,11488.9805,9141.00977,8140.91992,7563.27979,7056.27979
