MODEL,SCENARIO,REGION,scenariotype,Database,tolerance,variable,growth0520,growth0550,divergence0519
EC-IAM 2012,EMF27-Base-EERE,World,Baseline,AR5,0.1%/y tolerance 2005-2019,pcgdp,1.2868352439283606,1.70201554610126,-0.4404769801407169
EC-IAM 2012,EMF27-Base-LowEI,World,Baseline,AR5,0.1%/y tolerance 2005-2019,pcgdp,1.28690346132462,1.7021735675162906,-0.4404087627444575
FARM_3.0,EMF27-Base-EERE,World,Baseline,AR5,0.1%/y tolerance 2005-2019,pcgdp,1.9401794228006963,1.988073974474784,0.21286719873161886
FARM_3.0,EMF27-Base-LowEI,World,Baseline,AR5,0.1%/y tolerance 2005-2019,pcgdp,1.9407679380140883,1.9891115918713633,0.21345571394501084
GCAM 3.0,AMPERE2-450-LowEI-OPT,World,Policy,AR5,0.1%/y tolerance 2005-2019,pcgdp,NA,NA,NA
GCAM 3.0,AMPERE2-550-EERE-OPT,World,Policy,AR5,0.1%/y tolerance 2005-2019,pcgdp,NA,NA,NA
GCAM 3.0,EMF27-G8-FullTech,World,Policy,AR5,0.1%/y tolerance 2005-2019,pcgdp,1.2903633411584419,1.729791232738166,-0.4369488829106356
GCAM 3.1,LIMITS-500,World,Policy,AR5,0.1%/y tolerance 2005-2019,pcgdp,1.2903633411584419,1.729791232738166,-0.4369488829106356
GCAM 3.1,LIMITS-StrPol,World,Policy,AR5,0.1%/y tolerance 2005-2019,pcgdp,1.2903633411584419,1.729791232738166,-0.4369488829106356
GCAM 3.1,LIMITS-StrPol-450,World,Policy,AR5,0.1%/y tolerance 2005-2019,pcgdp,1.2903633411584419,1.729791232738166,-0.4369488829106356
GCAM 3.1,LIMITS-StrPol-500,World,Policy,AR5,0.1%/y tolerance 2005-2019,pcgdp,1.2903633411584419,1.729791232738166,-0.4369488829106356
GEM-E3-ICCS,AMPERE3-450P-EU,World,Policy,AR5,0.1%/y tolerance 2005-2019,pcgdp,1.9713783858691751,2.06027154992097,0.24406616180009766
GEM-E3-ICCS,AMPERE3-RefP-EUback,World,Policy,AR5,0.1%/y tolerance 2005-2019,pcgdp,1.9714130931634817,2.1012746038592076,0.2441008690944042
GEM-E3-ICCS,AMPERE3-RefPol,World,Policy,AR5,0.1%/y tolerance 2005-2019,pcgdp,1.9748519154126616,2.1004700432834,0.2475396913435841
GRAPE ver2011,EMF27-Base-LowEI,World,Baseline,AR5,0.1%/y tolerance 2005-2019,pcgdp,2.1075984200591575,2.0248752342453753,0.38028619599008007
IMACLIM v1.1,AMPERE3-450,World,Policy,AR5,0.1%/y tolerance 2005-2019,pcgdp,1.9927213132895598,2.2124709379537046,0.26540908922048234
IMACLIM v1.1,AMPERE3-CF450,World,Policy,AR5,0.1%/y tolerance 2005-2019,pcgdp,1.9642919880465117,2.22535342169665,0.23697976397743425
IMAGE 2.4,AME CO2 price $10 (5% p.a.),World,Policy,AR5,0.1%/y tolerance 2005-2019,pcgdp,1.9791738125116611,2.3251536187106936,0.25186158844258366
IMAGE 2.4,AMPERE2-450-LowEI-LST,World,Policy,AR5,0.1%/y tolerance 2005-2019,pcgdp,2.4343708559364545,2.618187333736724,0.707058631867377
