Entity,Code,Year,"CO2 mitigation curves for 2C (Andrews & GCP, 2019)"
Start in 2006,,2017,37363194000
Start in 2006,,2018,36908526000
Start in 2006,,2019,36390665000
Start in 2006,,2020,35817948000
Start in 2006,,2021,35197984000
Start in 2006,,2022,34537714000
Start in 2006,,2023,33843452999.999996
Start in 2006,,2024,33120947000
Start in 2006,,2025,32375410000.000004
Start in 2006,,2026,31611568000
Start in 2006,,2027,30833697000
Start in 2006,,2028,30045657000
Start in 2006,,2029,29250926000
Start in 2006,,2030,28452629000
Start in 2006,,2031,27653568000
Start in 2006,,2032,26856247000
Start in 2006,,2033,26062897000
Start in 2006,,2034,25275497000
Start in 2006,,2035,24495797000
Start in 2006,,2036,23725336000
Start in 2006,,2037,22965459000
Start in 2006,,2038,22217338000
Start in 2006,,2039,21481981000
Start in 2006,,2040,20760250000
Start in 2006,,2041,20052874000
Start in 2006,,2042,19360460000
Start in 2006,,2043,18683504000
Start in 2006,,2044,18022404000
Start in 2006,,2045,17377465000
Start in 2006,,2046,16748913000.000002
Start in 2006,,2047,16136896000
Start in 2006,,2048,15541501000
Start in 2006,,2049,14962752000
Start in 2006,,2050,14400621000
Start in 2006,,2051,13855032000
Start in 2006,,2052,13325867000
Start in 2006,,2053,12812973000
Start in 2006,,2054,12316161000
Start in 2006,,2055,11835215000
Start in 2006,,2056,11369895000
Start in 2006,,2057,10919937000
Start in 2006,,2058,10485061000
Start in 2006,,2059,10064969000
Start in 2006,,2060,9659352000
Start in 2006,,2061,9267889000
Start in 2006,,2062,8890252000
Start in 2006,,2063,8526104000
Start in 2006,,2064,8175106000
Start in 2006,,2065,7836912000
Start in 2006,,2066,7511177000
Start in 2006,,2067,7197554000
Start in 2006,,2068,6895697000
Start in 2006,,2069,6605261000
Start in 2006,,2070,6325904000
Start in 2006,,2071,6057285000
Start in 2006,,2072,5799069000
Start in 2006,,2073,5550925000
Start in 2006,,2074,5312527000
Start in 2006,,2075,5083553000
Start in 2006,,2076,4863689000
Start in 2006,,2077,4652625000
Start in 2006,,2078,4450059000
Start in 2006,,2079,4255695000
Start in 2006,,2080,4069244000.0000005
Start in 2006,,2081,3890424000
Start in 2006,,2082,3718959000
Start in 2006,,2083,3554582000
Start in 2006,,2084,3397032000
Start in 2006,,2085,3246056000
Start in 2006,,2086,3101407000
Start in 2006,,2087,2962846000
Start in 2006,,2088,2830141000
Start in 2006,,2089,2703068000
Start in 2006,,2090,2581408000
Start in 2006,,2091,2464951000
Start in 2006,,2092,2353493000
Start in 2006,,2093,2246836000
Start in 2006,,2094,2144788999.9999998
Start in 2006,,2095,2047168000
Start in 2006,,2096,1953795000
Start in 2006,,2097,1864499000
Start in 2006,,2098,1779112000
Start in 2006,,2099,1697476000
Start in 2006,,2100,1619437000
Start in 2007,,2007,34809941000
Start in 2007,,2008,35661538000
Start in 2007,,2009,36320130000
Start in 2007,,2010,36804053000
Start in 2007,,2011,37130227000
Start in 2007,,2012,37314254000
Start in 2007,,2013,37370513000
Start in 2007,,2014,37312247000
Start in 2007,,2015,37151641000
Start in 2007,,2016,36899899000
Start in 2007,,2017,36567315000
Start in 2007,,2018,36163337000
Start in 2007,,2019,35696631000
Start in 2007,,2020,35175134000
Start in 2007,,2021,34606111000
Start in 2007,,2022,33996201999.999996
Start in 2007,,2023,33351469000
Start in 2007,,2024,32677442000
Start in 2007,,2025,31979151000
Start in 2007,,2026,31261173000
Start in 2007,,2027,30527660000
Start in 2007,,2028,29782374000
Start in 2007,,2029,29028717000
Start in 2007,,2030,28269757000
Start in 2007,,2031,27508257000
Start in 2007,,2032,26746697000
Start in 2007,,2033,25987297000
Start in 2007,,2034,25232037000
Start in 2007,,2035,24482678000
Start in 2007,,2036,23740780000
Start in 2007,,2037,23007716000
Start in 2007,,2038,22284689000
Start in 2007,,2039,21572749000
Start in 2007,,2040,20872801000
Start in 2007,,2041,20185621000
Start in 2007,,2042,19511868000
Start in 2007,,2043,18852092000
Start in 2007,,2044,18206742000
Start in 2007,,2045,17576182000
Start in 2007,,2046,16960693000
Start in 2007,,2047,16360482000.000002
Start in 2007,,2048,15775691000
Start in 2007,,2049,15206402000
Start in 2007,,2050,14652644000
Start in 2007,,2051,14114395000
Start in 2007,,2052,13591594000
Start in 2007,,2053,13084139000
Start in 2007,,2054,12591896000
Start in 2007,,2055,12114698000
Start in 2007,,2056,11652355000
Start in 2007,,2057,11204652000
Start in 2007,,2058,10771354000
Start in 2007,,2059,10352209000
Start in 2007,,2060,9946950000
Start in 2007,,2061,9555299000
Start in 2007,,2062,9176966000
Start in 2007,,2063,8811654000
Start in 2007,,2064,8459057000
Start in 2007,,2065,8118868000.000001
Start in 2007,,2066,7790773000
Start in 2007,,2067,7474456000
Start in 2007,,2068,7169602000
Start in 2007,,2069,6875893000
Start in 2007,,2070,6593015000
Start in 2007,,2071,6320653000
Start in 2007,,2072,6058495000
Start in 2007,,2073,5806232000
Start in 2007,,2074,5563561000
Start in 2007,,2075,5330179000
Start in 2007,,2076,5105791000
Start in 2007,,2077,4890105000
Start in 2007,,2078,4682834000
Start in 2007,,2079,4483700000
Start in 2007,,2080,4292426000
Start in 2007,,2081,4108742999.9999995
Start in 2007,,2082,3932391000
Start in 2007,,2083,3763111000
Start in 2007,,2084,3600653000
Start in 2007,,2085,3444775000
Start in 2007,,2086,3295239000
Start in 2007,,2087,3151815000
Start in 2007,,2088,3014277000
Start in 2007,,2089,2882408000
Start in 2007,,2090,2755997000
Start in 2007,,2091,2634838000
Start in 2007,,2092,2518732000
Start in 2007,,2093,2407487000
Start in 2007,,2094,2300917000
Start in 2007,,2095,2198839000
Start in 2007,,2096,2101081000.0000002
Start in 2007,,2097,2007472000
Start in 2007,,2098,1917850000
Start in 2007,,2099,1832056000
Start in 2007,,2100,1749939000
Start in 2008,,2008,36010373000
Start in 2008,,2009,36718940000
Start in 2008,,2010,37241497000
Start in 2008,,2011,37596312000
Start in 2008,,2012,37800214000
Start in 2008,,2013,37868687000
Start in 2008,,2014,37815971000
Start in 2008,,2015,37655152000
Start in 2008,,2016,37398245000
Start in 2008,,2017,37056273000
Start in 2008,,2018,36639338000
Start in 2008,,2019,36156691000
Start in 2008,,2020,35616793000
Start in 2008,,2021,35027373000
Start in 2008,,2022,34395488000
Start in 2008,,2023,33727567999.999996
Start in 2008,,2024,33029465000
Start in 2008,,2025,32306497999.999996
Start in 2008,,2026,31563494000
Start in 2008,,2027,30804824000
Start in 2008,,2028,30034442000
Start in 2008,,2029,29255913000
Start in 2008,,2030,28472448000
Start in 2008,,2031,27686929000
Start in 2008,,2032,26901938000
Start in 2008,,2033,26119780000
Start in 2008,,2034,25342504000
Start in 2008,,2035,24571927000
Start in 2008,,2036,23809652000
Start in 2008,,2037,23057086000
Start in 2008,,2038,22315457000
Start in 2008,,2039,21585827000
Start in 2008,,2040,20869112000
Start in 2008,,2041,20166089000
Start in 2008,,2042,19477412000
Start in 2008,,2043,18803621000
Start in 2008,,2044,18145156000
Start in 2008,,2045,17502360000
Start in 2008,,2046,16875497000
Start in 2008,,2047,16264752000.000002
Start in 2008,,2048,15670242000
Start in 2008,,2049,15092023000
Start in 2008,,2050,14530096000
Start in 2008,,2051,13984414000
Start in 2008,,2052,13454884000
Start in 2008,,2053,12941376000
Start in 2008,,2054,12443725000
Start in 2008,,2055,11961737000
Start in 2008,,2056,11495190000
Start in 2008,,2057,11043840000
Start in 2008,,2058,10607424000
Start in 2008,,2059,10185660000
Start in 2008,,2060,9778255000
Start in 2008,,2061,9384901000
Start in 2008,,2062,9005283000
Start in 2008,,2063,8639077000
Start in 2008,,2064,8285954999.999999
Start in 2008,,2065,7945581000
Start in 2008,,2066,7617621000
Start in 2008,,2067,7301735000
Start in 2008,,2068,6997587000
Start in 2008,,2069,6704838000
Start in 2008,,2070,6423153000
Start in 2008,,2071,6152200000
Start in 2008,,2072,5891647000
Start in 2008,,2073,5641170000
Start in 2008,,2074,5400446000
Start in 2008,,2075,5169160000
Start in 2008,,2076,4947000000
Start in 2008,,2077,4733660000
Start in 2008,,2078,4528842000
Start in 2008,,2079,4332253000
Start in 2008,,2080,4143605000
Start in 2008,,2081,3962619000
Start in 2008,,2082,3789022000
Start in 2008,,2083,3622548000
Start in 2008,,2084,3462938000
Start in 2008,,2085,3309940000
Start in 2008,,2086,3163307000
Start in 2008,,2087,3022803000
Start in 2008,,2088,2888197000
Start in 2008,,2089,2759263000
Start in 2008,,2090,2635784000
Start in 2008,,2091,2517550000
Start in 2008,,2092,2404358000
Start in 2008,,2093,2296009000
Start in 2008,,2094,2192313000
Start in 2008,,2095,2093084999.9999998
Start in 2008,,2096,1998147000
Start in 2008,,2097,1907327000
Start in 2008,,2098,1820459000
Start in 2008,,2099,1737383000
Start in 2008,,2100,1657944000
Start in 2009,,2009,37288306000
Start in 2009,,2010,38022902000
Start in 2009,,2011,38548415000
Start in 2009,,2012,38886536000
Start in 2009,,2013,39057150000
