MODEL,SCENARIO,REGION,variable,filter,growtherror,ieadivergencestps2020,2005-2040 divergence from IEA STPS
KEI-Linkages,AME CO2 price $30 (5% p.a.),World,pcgdpmer,0.1%/y tolerance 2005-2040,0.2144989878785475,-0.9714502075546364,-0.4631862666547004
KEI-Linkages,AME CO2 price $30 (5% p.a.),World,pop,0.1%/y tolerance 2005-2040,0.14117776542388616,0.5190767960921921,0.3571200686629181
MERGE-ETL_2011,AMPERE2-550-Conv-OPT,World,co2intensity,0.1%/y tolerance 2005-2040,-0.017602688902889962,0.5624109225566387,0.31383366050255496
MERGE-ETL_2011,AMPERE2-550-Conv-OPT,World,energyintensity,0.1%/y tolerance 2005-2040,-0.9524834335944468,-0.27061354811143434,-0.5628434990327253
MERGE-ETL_2011,AMPERE2-550-Conv-OPT,World,fossilco2,0.1%/y tolerance 2005-2040,-0.5054153881869332,0.3165499334394289,-0.03572091868615487
MERGE-ETL_2011,AMPERE2-550-Conv-OPT,World,pcgdpmer,0.1%/y tolerance 2005-2040,0.6206962289633351,0.12540944981404423,0.3376752123065974
MERGE-ETL_2011,AMPERE2-550-Conv-OPT,World,pop,0.1%/y tolerance 2005-2040,-0.15602549465293158,-0.10065689081981966,-0.1243862924625819
MERGE-ETL_2011,AMPERE2-550-LimSW-OPT,World,co2intensity,0.1%/y tolerance 2005-2040,-0.002236843441438152,0.3786334593851081,0.21540332960230255
MERGE-ETL_2011,AMPERE2-550-LimSW-OPT,World,energyintensity,0.1%/y tolerance 2005-2040,-0.8068523927297409,-0.08482699771903934,-0.39426645272362565
MERGE-ETL_2011,AMPERE2-550-LimSW-OPT,World,fossilco2,0.1%/y tolerance 2005-2040,-0.32819658444830746,0.3276820671684904,0.04659121647557704
MERGE-ETL_2011,AMPERE2-550-LimSW-OPT,World,pcgdpmer,0.1%/y tolerance 2005-2040,0.6369181463758031,0.1345324963222413,0.349840632059482
MERGE-ETL_2011,AMPERE2-550-LimSW-OPT,World,pop,0.1%/y tolerance 2005-2040,-0.15602549465293158,-0.10065689081981966,-0.1243862924625819
MERGE-ETL_2011,AMPERE2-550-LowEI-OPT,World,co2intensity,0.1%/y tolerance 2005-2040,0.022196228736908852,0.5702523448721342,0.3353711522427519
MERGE-ETL_2011,AMPERE2-550-LowEI-OPT,World,energyintensity,0.1%/y tolerance 2005-2040,-0.6587331483132446,-0.5202781640557549,-0.5796160144518219
MERGE-ETL_2011,AMPERE2-550-LowEI-OPT,World,fossilco2,0.1%/y tolerance 2005-2040,-0.10184422716198394,0.16974868051551956,0.053351720082303766
MERGE-ETL_2011,AMPERE2-550-LowEI-OPT,World,pcgdpmer,0.1%/y tolerance 2005-2040,0.6907181870672834,0.22043139051896,0.4219828747539557
