MODEL,SCENARIO,REGION,variable,percent,resulttype
REMIND-MAGPIE,SSP2-Baseline,World,pop,-0.12457330027629321,growtherror
REMIND-MAGPIE,SSP5-Baseline,ASIA,pop,-0.1882288281899226,growtherror
REMIND-MAGPIE,SSP5-Baseline,LAM,pop,-0.20780487202319486,growtherror
REMIND-MAGPIE,SSP5-Baseline,MAF,pop,-0.495677645469903,growtherror
REMIND-MAGPIE,SSP5-Baseline,OECD90,pop,-0.027218587722419474,growtherror
REMIND-MAGPIE,SSP5-Baseline,REF,pop,-0.270515818729445,growtherror
REMIND-MAGPIE,SSP5-Baseline,World,pop,-0.20006236667712507,growtherror
WITCH-GLOBIOM,SSP1-Baseline,ASIA,pop,-0.17592973271461865,growtherror
WITCH-GLOBIOM,SSP1-Baseline,LAM,pop,-0.0935041651981714,growtherror
WITCH-GLOBIOM,SSP1-Baseline,MAF,pop,-0.4181000804237569,growtherror
WITCH-GLOBIOM,SSP1-Baseline,OECD90,pop,-0.04749376407785266,growtherror
WITCH-GLOBIOM,SSP1-Baseline,REF,pop,-0.030872145986357374,growtherror
WITCH-GLOBIOM,SSP1-Baseline,World,pop,-0.1996146335973581,growtherror
WITCH-GLOBIOM,SSP2-Baseline,ASIA,pop,-0.08623881028930169,growtherror
WITCH-GLOBIOM,SSP2-Baseline,LAM,pop,0.0027227332923445147,growtherror
WITCH-GLOBIOM,SSP2-Baseline,MAF,pop,-0.264553441839932,growtherror
WITCH-GLOBIOM,SSP2-Baseline,OECD90,pop,-0.070028714532544,growtherror
WITCH-GLOBIOM,SSP2-Baseline,REF,pop,0.02701675863917341,growtherror
WITCH-GLOBIOM,SSP2-Baseline,World,pop,-0.11603964152604296,growtherror
WITCH-GLOBIOM,SSP3-Baseline,ASIA,pop,-0.005024166144259379,growtherror
WITCH-GLOBIOM,SSP3-Baseline,LAM,pop,0.12839311122016173,growtherror
WITCH-GLOBIOM,SSP3-Baseline,MAF,pop,-0.12450176584427197,growtherror
WITCH-GLOBIOM,SSP3-Baseline,OECD90,pop,-0.18888631210751078,growtherror
WITCH-GLOBIOM,SSP3-Baseline,REF,pop,0.08613768891909535,growtherror
WITCH-GLOBIOM,SSP3-Baseline,World,pop,-0.050984191344006335,growtherror
WITCH-GLOBIOM,SSP4-Baseline,ASIA,pop,-0.12401170103790293,growtherror
WITCH-GLOBIOM,SSP4-Baseline,LAM,pop,-0.029361039640331432,growtherror
WITCH-GLOBIOM,SSP4-Baseline,MAF,pop,-0.1584184103607411,growtherror
WITCH-GLOBIOM,SSP4-Baseline,OECD90,pop,-0.1121710587710052,growtherror
WITCH-GLOBIOM,SSP4-Baseline,REF,pop,-0.017626636723441585,growtherror
WITCH-GLOBIOM,SSP4-Baseline,World,pop,-0.12623665686713959,growtherror
WITCH-GLOBIOM,SSP5-Baseline,ASIA,pop,-0.1820260431736851,growtherror
WITCH-GLOBIOM,SSP5-Baseline,LAM,pop,-0.12519411664276325,growtherror
WITCH-GLOBIOM,SSP5-Baseline,MAF,pop,-0.4232676660310033,growtherror
WITCH-GLOBIOM,SSP5-Baseline,OECD90,pop,0.04739692565168607,growtherror
WITCH-GLOBIOM,SSP5-Baseline,REF,pop,-0.031558885703367345,growtherror
WITCH-GLOBIOM,SSP5-Baseline,World,pop,-0.1915665862885252,growtherror
AIM/CGE,SSP1-Baseline,ASIA,pcgdpppp,0.5182333103574016,growtherror
AIM/CGE,SSP1-Baseline,LAM,pcgdpppp,1.3235172031031188,growtherror
AIM/CGE,SSP1-Baseline,MAF,pcgdpppp,1.5904656571135556,growtherror
AIM/CGE,SSP1-Baseline,OECD90,pcgdpppp,0.44095833241340066,growtherror
AIM/CGE,SSP1-Baseline,REF,pcgdpppp,1.2248298377905067,growtherror
AIM/CGE,SSP1-Baseline,World,pcgdpppp,0.603042621418221,growtherror
AIM/CGE,SSP2-Baseline,ASIA,pcgdpppp,0.4019799145759575,growtherror
AIM/CGE,SSP2-Baseline,LAM,pcgdpppp,1.2724687579366927,growtherror
AIM/CGE,SSP2-Baseline,MAF,pcgdpppp,1.4955567581024503,growtherror
AIM/CGE,SSP2-Baseline,OECD90,pcgdpppp,0.41527107294364496,growtherror
AIM/CGE,SSP2-Baseline,REF,pcgdpppp,1.1514325524614801,growtherror
AIM/CGE,SSP2-Baseline,World,pcgdpppp,0.49933827695776767,growtherror
AIM/CGE,SSP3-Baseline,ASIA,pcgdpppp,0.31313073465408525,growtherror
AIM/CGE,SSP3-Baseline,LAM,pcgdpppp,1.2111958352731003,growtherror
AIM/CGE,SSP3-Baseline,MAF,pcgdpppp,1.3578556692729933,growtherror
AIM/CGE,SSP3-Baseline,OECD90,pcgdpppp,0.3894830945156671,growtherror
AIM/CGE,SSP3-Baseline,REF,pcgdpppp,1.0885913906471705,growtherror
AIM/CGE,SSP3-Baseline,World,pcgdpppp,0.38190224450082355,growtherror
