MODEL,SCENARIO,REGION,variable,percent,resulttype
EC-IAM 2012,EMF27-Base-LowEI,REF,fossilco2,0.6309368557294804,growtherror
EC-IAM 2012,EMF27-Base-LowEI,World,fossilco2,-0.38241976474538175,growtherror
EC-IAM 2012,EMF27-Base-NucOff,ASIA,fossilco2,-0.4228857485529445,growtherror
EC-IAM 2012,EMF27-Base-NucOff,LAM,fossilco2,-0.3218398392607362,growtherror
EC-IAM 2012,EMF27-Base-NucOff,OECD90,fossilco2,1.401037058024016,growtherror
EC-IAM 2012,EMF27-Base-NucOff,REF,fossilco2,0.8978282657535235,growtherror
EC-IAM 2012,EMF27-Base-NucOff,World,fossilco2,-0.10105164835629266,growtherror
ENV-Linkages (WEO2012 calibration),EMF27-Base-Conv,ASIA,fossilco2,NA,growtherror
ENV-Linkages (WEO2012 calibration),EMF27-Base-Conv,LAM,fossilco2,NA,growtherror
ENV-Linkages (WEO2012 calibration),EMF27-Base-Conv,MAF,fossilco2,NA,growtherror
ENV-Linkages (WEO2012 calibration),EMF27-Base-Conv,OECD90,fossilco2,NA,growtherror
ENV-Linkages (WEO2012 calibration),EMF27-Base-Conv,REF,fossilco2,NA,growtherror
ENV-Linkages (WEO2012 calibration),EMF27-Base-Conv,World,fossilco2,NA,growtherror
ENV-Linkages (WEO2012 calibration),EMF27-Base-FullTech,ASIA,fossilco2,NA,growtherror
ENV-Linkages (WEO2012 calibration),EMF27-Base-FullTech,LAM,fossilco2,NA,growtherror
ENV-Linkages (WEO2012 calibration),EMF27-Base-FullTech,MAF,fossilco2,NA,growtherror
ENV-Linkages (WEO2012 calibration),EMF27-Base-FullTech,OECD90,fossilco2,NA,growtherror
ENV-Linkages (WEO2012 calibration),EMF27-Base-FullTech,REF,fossilco2,NA,growtherror
ENV-Linkages (WEO2012 calibration),EMF27-Base-FullTech,World,fossilco2,NA,growtherror
ENV-Linkages (WEO2012 calibration),EMF27-Base-LimBio,ASIA,fossilco2,NA,growtherror
ENV-Linkages (WEO2012 calibration),EMF27-Base-LimBio,LAM,fossilco2,NA,growtherror
ENV-Linkages (WEO2012 calibration),EMF27-Base-LimBio,MAF,fossilco2,NA,growtherror
ENV-Linkages (WEO2012 calibration),EMF27-Base-LimBio,OECD90,fossilco2,NA,growtherror
ENV-Linkages (WEO2012 calibration),EMF27-Base-LimBio,REF,fossilco2,NA,growtherror
ENV-Linkages (WEO2012 calibration),EMF27-Base-LimBio,World,fossilco2,NA,growtherror
ENV-Linkages (WEO2012 calibration),EMF27-Base-LimSW,ASIA,fossilco2,NA,growtherror
ENV-Linkages (WEO2012 calibration),EMF27-Base-LimSW,LAM,fossilco2,NA,growtherror
ENV-Linkages (WEO2012 calibration),EMF27-Base-LimSW,MAF,fossilco2,NA,growtherror
ENV-Linkages (WEO2012 calibration),EMF27-Base-LimSW,OECD90,fossilco2,NA,growtherror
ENV-Linkages (WEO2012 calibration),EMF27-Base-LimSW,REF,fossilco2,NA,growtherror
ENV-Linkages (WEO2012 calibration),EMF27-Base-LimSW,World,fossilco2,NA,growtherror
ENV-Linkages (WEO2012 calibration),EMF27-Base-NucOff,ASIA,fossilco2,NA,growtherror
ENV-Linkages (WEO2012 calibration),EMF27-Base-NucOff,LAM,fossilco2,NA,growtherror
ENV-Linkages (WEO2012 calibration),EMF27-Base-NucOff,MAF,fossilco2,NA,growtherror
ENV-Linkages (WEO2012 calibration),EMF27-Base-NucOff,OECD90,fossilco2,NA,growtherror
ENV-Linkages (WEO2012 calibration),EMF27-Base-NucOff,REF,fossilco2,NA,growtherror
ENV-Linkages (WEO2012 calibration),EMF27-Base-NucOff,World,fossilco2,NA,growtherror
FARM_3.0,EMF27-Base-Conv,ASIA,fossilco2,0.385185696947854,growtherror
FARM_3.0,EMF27-Base-Conv,LAM,fossilco2,0.030933497917004393,growtherror
FARM_3.0,EMF27-Base-Conv,MAF,fossilco2,-0.7197704930154312,growtherror
FARM_3.0,EMF27-Base-Conv,OECD90,fossilco2,1.8619825524387057,growtherror
FARM_3.0,EMF27-Base-Conv,REF,fossilco2,1.431912060108047,growtherror
FARM_3.0,EMF27-Base-Conv,World,fossilco2,0.7871293979421494,growtherror
FARM_3.0,EMF27-Base-EERE,ASIA,fossilco2,-0.46190062233179097,growtherror
FARM_3.0,EMF27-Base-EERE,LAM,fossilco2,-0.8552047586864193,growtherror
FARM_3.0,EMF27-Base-EERE,MAF,fossilco2,-1.5995745786203992,growtherror
FARM_3.0,EMF27-Base-EERE,OECD90,fossilco2,1.1539446631020047,growtherror
FARM_3.0,EMF27-Base-EERE,REF,fossilco2,0.646368426360399,growtherror
FARM_3.0,EMF27-Base-EERE,World,fossilco2,0.0013081514737902644,growtherror
FARM_3.0,EMF27-Base-FullTech,ASIA,fossilco2,0.3755275570601846,growtherror
FARM_3.0,EMF27-Base-FullTech,LAM,fossilco2,0.004849934398998279,growtherror
FARM_3.0,EMF27-Base-FullTech,MAF,fossilco2,-0.7186162811263794,growtherror
FARM_3.0,EMF27-Base-FullTech,OECD90,fossilco2,1.8384007485179619,growtherror
FARM_3.0,EMF27-Base-FullTech,REF,fossilco2,1.4260355995515892,growtherror
FARM_3.0,EMF27-Base-FullTech,World,fossilco2,0.7738957832616549,growtherror
FARM_3.0,EMF27-Base-LimBio,ASIA,fossilco2,0.3837509337959766,growtherror
FARM_3.0,EMF27-Base-LimBio,LAM,fossilco2,0.029185015143729176,growtherror
FARM_3.0,EMF27-Base-LimBio,MAF,fossilco2,-0.7204823228031736,growtherror
FARM_3.0,EMF27-Base-LimBio,OECD90,fossilco2,1.8565945882566808,growtherror
FARM_3.0,EMF27-Base-LimBio,REF,fossilco2,1.4300605223073621,growtherror
FARM_3.0,EMF27-Base-LimBio,World,fossilco2,0.7845176824389071,growtherror
